Inventory with related information;;;;;;;;;;Characterization factors (CFs) by impact category;;;;;;;;;;;;;;;;Global NF by impact category ;;;;;;;;;;;;;;;
Flow name;Flow name original;Substance name as commonly in the statistics;Additional Specification (e.g. Emission source);Compartment;Compartment (class 2);Global inventory 2010;Unit;Source;UUID;Climate change;Ozone depletion;Human toxicity, cancer;Human toxicity, non-cancer;Particulate matter;Ionising radiation ;Photochemical ozone formation ;Acidification;Terrestrial eutrophication;Freshwater eutrophication;Marine Eutrophication;Land use;Ecotoxicity freshwater;Water use;Resource depletion, fossils;Resource depletion, minerals and metals;Climate change;Ozone depletion;Human toxicity, cancer;Human toxicity, non-cancer;Particulate matter;Ionising radiation ;Photochemical ozone formation ;Acidification;Terrestrial eutrophication;Freshwater eutrophication;Marine Eutrophication;Land use;Ecotoxicity freshwater;Water use;Resource depletion, fossils;Resource depletion, minerals and metals
1-(4-(2-cloro-a,a,a-p-trifluorotolyloxy)-2-fluorophenyl)-3-(2,6-difluorobenzolyl)urea;flufenoxuron;;Insecticide;emissions to air;emissions to air, unspecified;3.08E+04;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);5d35b3d7-5953-4b42-82ec-1c85b5a5bce2;;;;3.98E-06;;;;;;;;;2.43E+07;;;;;;;1.22E-01;;;;;;;;;7.48E+11;;;
1-(4-(2-cloro-a,a,a-p-trifluorotolyloxy)-2-fluorophenyl)-3-(2,6-difluorobenzolyl)urea;flufenoxuron;;Insecticide;emissions to soil;emissions to soil, unspecified;4.10E+04;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);e04ed85e-5370-4939-be66-4546396fd292;;;;2.62E-08;;;;;;;;;1.86E+05;;;;;;;1.07E-03;;;;;;;;;7.62E+09;;;
1-(4-(2-cloro-a,a,a-p-trifluorotolyloxy)-2-fluorophenyl)-3-(2,6-difluorobenzolyl)urea;flufenoxuron;;Insecticide;emissions to water;emissions to water, unspecified;2.05E+03;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);653496ae-fe83-4305-b3f1-8986c7323ca9;;;;1.12E-05;;;;;;;;;8.86E+08;;;;;;;2.31E-02;;;;;;;;;1.82E+12;;;
1-(4,6-dimethoxypyrimidin-2-yl)-3-(3-trifluoromethyl-2-pyridylsulfonyl)urea;flazasulfuron;;Herbicide;emissions to air;emissions to air, unspecified;2.57E+03;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);8d008f36-136f-4a13-ab38-1370a127f39d;;;;6.58E-06;;;;;;;;;1.74E+04;;;;;;;1.69E-02;;;;;;;;;4.48E+07;;;
1-(4,6-dimethoxypyrimidin-2-yl)-3-(3-trifluoromethyl-2-pyridylsulfonyl)urea;flazasulfuron;;Herbicide;emissions to soil;emissions to soil, unspecified;1.27E+04;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);4b520d02-c893-403e-9841-60f455b2aab3;;;;9.45E-06;;;;;;;;;9.16E+04;;;;;;;1.20E-01;;;;;;;;;1.16E+09;;;
1-(4,6-dimethoxypyrimidin-2-yl)-3-(3-trifluoromethyl-2-pyridylsulfonyl)urea;flazasulfuron;;Herbicide;emissions to water;emissions to water, unspecified;1.72E+02;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);c4a35ac8-7523-4704-872b-aec368878782;;;;9.41E-06;;;;;;;;;3.01E+05;;;;;;;1.61E-03;;;;;;;;;5.16E+07;;;
1-(tricyclohexylstannyl)-1h-1,2,4-triazole;1-(tricyclohexylstannyl)-1h-1,2,4-triazole;Azocyclotin;Acaricide;emissions to air;emissions to air, unspecified;1.01E+05;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);6a8143e0-4213-4b29-9ecd-c04036c64a79;;;;4.87E-05;;;;;;;;;3.73E+04;;;;;;;4.90E+00;;;;;;;;;3.75E+09;;;
1-(tricyclohexylstannyl)-1h-1,2,4-triazole;1-(tricyclohexylstannyl)-1h-1,2,4-triazole;Azocyclotin;Acaricide;emissions to soil;emissions to soil, unspecified;1.34E+05;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);f1da32fa-a5ed-49f0-94ba-d6b04c93bb04;;;;5.05E-08;;;;;;;;;6.95E+01;;;;;;;6.76E-03;;;;;;;;;9.31E+06;;;
1-(tricyclohexylstannyl)-1h-1,2,4-triazole;1-(tricyclohexylstannyl)-1h-1,2,4-triazole;Azocyclotin;Acaricide;emissions to water;emissions to water, unspecified;6.70E+03;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);5b3a3268-f39b-43bd-ba51-aa7fc963ef74;;;;1.73E-04;;;;;;;;;1.40E+06;;;;;;;1.16E+00;;;;;;;;;9.36E+09;;;
1,1,1,2,3,3,3-heptafluoropropane;hfc-227ea;;;emissions to air;emissions to air, unspecified;9.57E+06;kg;EC-JRC/PBL, 2013 (EDGAR, v.4.2 FT2010);0dcda8b9-78e6-4648-9ab2-c51e3d4c1f34;3.60E+03;;;6.16E-10;;;;;;;;;8.67E-02;;;;3.45E+10;;;5.90E-03;;;;;;;;;8.29E+05;;;
1,1,1,3,3-pentafluoropropane;hfc-245fa;;;emissions to air;emissions to air, unspecified;5.39E+06;kg;EC-JRC/PBL, 2013 (EDGAR, v.4.2 FT2010);4925e4e2-fa55-4401-b263-7e0766956bf0;9.62E+02;;;;;;;;;;;;8.07E-01;;;;5.19E+09;;;;;;;;;;;;4.35E+06;;;
1,1,1-trifluoroethane;1,1,1-trifluoroethane;;;emissions to air;emissions to air, unspecified;4.08E+07;kg;EC-JRC/PBL, 2013 (EDGAR, v.4.2 FT2010);26162114-f5b3-45b5-87c3-f0fe0ecf2bb9;5.81E+03;;;;;;;;;;;;;;;;2.37E+11;;;;;;;;;;;;;;;
1,1,2,2-tetrachloroethane;1,1,2,2-tetrachloroethane;1,1,2,2-tetrachloroethane;Industrial releases;emissions to air;emissions to air, unspecified;7.99E+04;kg;;fe0acd60-3ddc-11dd-a311-0050c2490048;;;1.13E-06;;;;;;;;;;1.56E+01;;;;;;9.04E-02;;;;;;;;;;1.24E+06;;;
1,1,2,2-tetrachloroethane;1,1,2,2-tetrachloroethane;1,1,2,2-tetrachloroethane;Industrial releases;emissions to soil;emissions to soil, unspecified;0.00E+00;kg;;08a91e70-3ddc-11dd-9300-0050c2490048;;;1.16E-06;;;;;;;;;;1.11E+02;;;;;;0.00E+00;;;;;;;;;;0.00E+00;;;
1,1,2,2-tetrachloroethane;1,1,2,2-tetrachloroethane;1,1,2,2-tetrachloroethane;Non-industrial releases;emissions to water;emissions to water, unspecified;9.28E+05;kg;;fe0acd60-3ddc-11dd-a317-0050c2490048;;;6.40E-07;;;;;;;;;;1.08E+03;;;;;;5.94E-01;;;;;;;;;;1.00E+09;;;
1,1,2,2-tetrachloroethane;1,1,2,2-tetrachloroethane;1,1,2,2-tetrachloroethene;Industrial releases;emissions to water;emissions to water, unspecified;5.25E+03;kg;;fe0acd60-3ddc-11dd-a317-0050c2490048;;;6.40E-07;;;;;;;;;;1.08E+03;;;;;;3.36E-03;;;;;;;;;;5.66E+06;;;
1,1,2-trichlorotrifluoroethane;1,1,2-trichlorotrifluoroethane;1,1,2-trichloro-1,2,2-trifluoroethane;CFC-113;emissions to air;emissions to air, unspecified;5.50E+06;kg;Fahey & Hegglin, 2011;a3fe3630-a497-45c3-a1ed-7b20f9d6e51a;6.52E+03;8.10E-01;0.00E+00;3.70E-09;;;;;;;;;;;;;3.59E+10;4.46E+06;0.00E+00;2.04E-02;;;;;;;;;;;;
1,1,3-trimethylcyclohexane;1,1,3-trimethylcyclohexane;1,1,3-trimethylcyclohexane;;emissions to air;emissions to air, unspecified;5.69E+07;kg;;44060fda-3a43-4c07-af22-1e7acdfeeb71;;;;;;;;;;;;;5.19E-02;;;;;;;;;;;;;;;;2.95E+06;;;
1,1-dimethylcyclohexane;1,1-dimethylcyclohexane;1,1-dimethylcyclohexane;;emissions to air;emissions to air, unspecified;4.05E+06;kg;;c5ecddc7-cbd2-43d9-9543-1d82d71068f9;;;;;;;;;;;;;1.54E-02;;;;;;;;;;;;;;;;6.24E+04;;;
1,2,4,5-tetramethylbenzene;1,2,4,5-tetramethylbenzene;1,2,4,5-tetramethylbenzene;;emissions to air;emissions to air, unspecified;6.25E+07;kg;;0fa4530a-9fda-4124-a536-b1bbb867ef8f;;;;;;;;;;;;;7.75E-02;;;;;;;;;;;;;;;;4.84E+06;;;
1,2,4-trimethylbenzene;1,2,4-trimethylbenzene;1,2,4-trimethylbenzene;;emissions to air;emissions to air, unspecified;1.35E+09;kg;EU Sala et al. (2015) * 14.12 (from Cucurachi et al. 2014);4d9a8790-3ddd-11dd-9cdb-0050c2490048;;;3.02E-09;3.12E-09;;;2.16E+00;;;;;;1.85E-01;;;;;;4.06E+00;4.20E+00;;;2.91E+09;;;;;;2.49E+08;;;
